first_name,last_name,Genre,M1,M2,M3,Y1,Y2
Arlena,Rulton,Drama,97.18,0.0881300429,78,0.0,1.0
Othilia,Shailer,Comedy|Drama,103.84,0.0662186293,79,0.0,1.0
Hyman,Oxshott,Children|Drama,99.12,0.0088055663,88,0.0,1.0
Dallas,Forster,Action|Adventure|Sci-Fi,100.77,0.0613538151,97,0.0,1.0
Jeddy,Woolnough,Drama,101.94,0.0408659832,80,0.0,1.0
Shandeigh,Petracci,Animation|Children|Comedy,99.12,0.1254323819,112,0.0,1.0
Georgiana,Wotherspoon,Comedy|Drama|Romance,98.59,0.1161777135,89,0.0,1.0
Christin,Silbersak,Comedy,99.26,0.0212787712,75,0.0,0.0
Herb,McCartney,Drama,101.81,0.0626071515,88,0.0,1.0
Cate,Driussi,Action|Comedy,101.33,0.1367491635,89,1.0,1.0
Carroll,Stapells,Drama|Horror|Thriller,97.57,0.0763360771,90,0.0,1.0
Dalt,Gisby,Comedy|Crime,100.65,0.00271749,90,1.0,1.0
Cornell,Skeete,Drama,101.55,0.1210427705,82,1.0,1.0
Seymour,O'Callaghan,Comedy,103.72,0.0938206376,80,0.0,1.0
Lindsay,Bredgeland,Comedy|Drama,101.89,0.0028442747,72,0.0,1.0
Caryl,Valero,Comedy|Fantasy|Horror,104.68,0.019799082,95,1.0,1.0
Johan,Scrimshaw,Documentary,96.74,0.0034859266,68,0.0,1.0
Saraann,Comben,Action|Animation|Children|Fantasy|Sci-Fi,95.69,0.0773883455,71,0.0,1.0
Manny,Baron,Drama,97.47,0.1098261213,90,0.0,1.0
Elyn,Milthorpe,Comedy,98.43,0.0815619575,85,0.0,1.0
Imogen,Padden,Drama|Horror|Thriller,96.47,0.0359450148,90,0.0,1.0
Netty,Cockren,Horror|Sci-Fi,98.48,0.0121256463,77,0.0,1.0
Bonnibelle,Shrigley,Drama|Musical,102.95,0.0348460658,118,0.0,1.0
Loni,Mailes,Action|Comedy,100.21,0.0193365996,87,0.0,1.0
Celie,McIlhatton,Comedy|Drama,97.08,0.044213828,86,0.0,1.0
Larissa,Price,Action|Drama|Thriller,99.8,0.0065916788,86,0.0,1.0
Rheba,Corkish,Comedy|Documentary|Drama,99.36,0.1791140591,78,0.0,1.0
Ivory,Lovering,Action|Crime|Drama|Thriller,99.74,0.0018371167,76,0.0,1.0
Wernher,Boothman,Comedy|Drama|Romance,100.42,0.0826162484,76,0.0,1.0
Jemmie,Verdun,Comedy|Fantasy|Horror|Thriller,99.96,0.0064097706,97,0.0,1.0
Cordie,Fieldhouse,Drama|Mystery|Sci-Fi|Thriller,99.63,0.0579583377,86,0.0,1.0
Elfie,Gerbl,Comedy,100.3,0.2696543074,92,0.0,1.0
Travus,Cosgrive,Action|Romance|Thriller,98.49,0.0053454687,81,0.0,1.0
Heidi,Giovannazzi,Action,97.86,0.0204845862,87,0.0,1.0
